1,Marketing
2,Automobiles
3,Chemicals
4,Banks-Public Sector
5,Banks-Private Sector
6,NBFC-Non FD accepting
7,NBFC-FD accepting
8,Housing Finance-FD Accepting
9,Houing Finance-Non FD accepting
10,FMCG-Food
11,Consumer Durables
12,Advertising
13,Construction-Housing
14,Construction-Commercial
15,Pharma
16,Healthcare-Hospitals
17,Healthcare-Diagnostic Centers
18,Metals
19,Metals and Mining
20,FERTILISERS & PESTICIDES
21,TEXTILES
22,CEMENT & CEMENT PRODUCTS
23,TELECOM
24,Forest Products
25,Power
26,Oil and Gas
27,Trading
28,Hotels/Resorts
29,Engineering
30,Manufacturing
31,Manpower Services
32,Movie Exhibition
33,Movie Production
34,Logistics-Transporters
35,Logistics-Others
36,IT/ITES
37,Computer Hardware
