"5","RBI – Reserve Bank of India"
"8","SEBI – Securities and Exchange Board of India"
"10","IRDAI – Insurance Regulatory and Development Authority of India"
"11","PFRDA – Pension Fund Regulatory & Development Authority"
"12","NABARD – National Bank for Agriculture and Rural Development"
"13","SIDBI – Small Industries Development Bank of India"
"14","NHB - National Housing Bank"
"15","TRAI – Telecom Regulatory Authority of India"
"16","CBFC – Central Board of Film Certification"
"17","FSDC – Financial Stability and Development Council"
"18","FSSAI – Food Safety and Standards Authority of India"
"19","BIS – Bureau of Indian Standards"
"20","ASCI – Advertising Standards Council of India"
"21","BCCI – Board of Control for Cricket in India"
"22","AMFI – Association of Mutual Funds in India"
"23","EEPC – Engineering Export Promotional Council of India"
"24","EICI – Express Industry Council of India"
"25","FIEO – Federation of Indian Export Organisation"
"26","INSA – Indian National Shipowners’ Association"
"27","ICC – Indian Chemical Council"
"28","ISSDA – Indian Stainless Steel Development Association"
"29","MAIT – Manufacturers’ Association for Information Technology"
"30","NASSCOM – National Association of Software and Service Companies"
"31","OPPI – Organisation Of Plastic Processors of India"
"32"," PEPC – Project Exports Promotion Council of India"
"33","CDSCO – Central Drugs Standard Control Organisation"
"34","Inland Waterways Authority of India"
"35","National Highways Authority of India"
"37","ICAI-Institute of Chartered Accountants of India"
"38","DGMS-Directorate General of Mines Safety"
"39","Airports Economic Regulatory Authority"
"40","ROC-Registrar of Companies"
"41","Competition Commission of India"
"42","Central Electricity Regulatory Commission"
"43","Warehousing Development and Regulatory Authority"
"44","Atomic Energy Regulatory Board"
"45","NHB-National Housing Bank"
"46","Central Drug standardisation and control organisation"
"47","Government of India"
"48","International Accounting Standards"
"50","Test"
"51","Income tax"
"52","Central Board of Excise and Customs"
"53","The Fugitive Economic Offenders Act, 2018."
"54","Other"
